Object ID:1
Tracking Start:2018-11-09 19:02:58
2018-11-09 19:02:58[ 226.  344.]
2018-11-09 19:02:58[ 249.  329.]
2018-11-09 19:02:59[ 259.5  337.5]
2018-11-09 19:02:59[ 263.  341.]
2018-11-09 19:02:59[ 264.  341.]
2018-11-09 19:02:59[ 260.  341.]
2018-11-09 19:02:59[ 265.  342.]
2018-11-09 19:02:59[ 263.  341.]
2018-11-09 19:03:00[ 258.5  345.5]
2018-11-09 19:03:00[ 257.  349.]
2018-11-09 19:03:00[ 260.  351.]
2018-11-09 19:03:00[ 257.  351.]
2018-11-09 19:03:00[ 257.  352.]
2018-11-09 19:03:01[ 260.  354.]
2018-11-09 19:03:01[ 258.  353.]
2018-11-09 19:03:01[ 258.  354.]
2018-11-09 19:03:01[ 251.5  353.5]
2018-11-09 19:03:01[ 253.  353.]
2018-11-09 19:03:02[ 251.5  344.5]
2018-11-09 19:03:02[ 243.  340.]
2018-11-09 19:03:02[ 243.  340.]
2018-11-09 19:03:03[ 254.5  345.5]
2018-11-09 19:03:03[ 247.5  344.5]
2018-11-09 19:03:03[ 250.5  347.5]
2018-11-09 19:03:03[ 251.  350.]
2018-11-09 19:03:04[ 251.  352.]
2018-11-09 19:03:04[ 268.5  348.5]
2018-11-09 19:03:04[ 284.5  346.5]
2018-11-09 19:03:04[ 322.  329.]
2018-11-09 19:03:04[ 334.5  318.5]
2018-11-09 19:03:04[ 354.5  298.5]
2018-11-09 19:03:04[ 354.5  298.5]
2018-11-09 19:03:05[ 329.5  307.5]
Tracking End:2018-11-09 19:03:05

Object ID:2
Tracking Start:2018-11-09 19:03:09
2018-11-09 19:03:09[ 304.5  260.5]
2018-11-09 19:03:10[ 293.  276.]
2018-11-09 19:03:10[ 310.5  235.5]
2018-11-09 19:03:10[ 310.5  235.5]
2018-11-09 19:03:11[ 367.5  300.5]
2018-11-09 19:03:11[ 302.  308.]
2018-11-09 19:03:12[ 173.5  111.5]
2018-11-09 19:03:12[ 324.5  232.5]
2018-11-09 19:03:12[ 324.5  232.5]
2018-11-09 19:03:13[ 439.  223.]
2018-11-09 19:03:14[ 254.5  219.5]
2018-11-09 19:03:14[ 333.  183.]
2018-11-09 19:03:14[ 333.  183.]
2018-11-09 19:03:15[ 384.5  269.5]
2018-11-09 19:03:15[ 390.5  247.5]
2018-11-09 19:03:17[ 319.5  184.5]
2018-11-09 19:03:17[ 315.5  213.5]
2018-11-09 19:03:18[ 208.  231.]
2018-11-09 19:03:19[ 302.5  236.5]
2018-11-09 19:03:19[ 411.  195.]
2018-11-09 19:03:19[ 430.5  222.5]
2018-11-09 19:03:19[ 366.  264.]
2018-11-09 19:03:19[ 358.  276.]
2018-11-09 19:03:20[ 366.5  289.5]
2018-11-09 19:03:20[ 358.5  288.5]
2018-11-09 19:03:20[ 349.  285.]
2018-11-09 19:03:21[ 342.5  289.5]
2018-11-09 19:03:21[ 360.5  296.5]
2018-11-09 19:03:21[ 361.5  298.5]
2018-11-09 19:03:21[ 376.  299.]
2018-11-09 19:03:21[ 373.  304.]
2018-11-09 19:03:22[ 355.  323.]
Tracking End:2018-11-09 19:03:22

Object ID:3
Tracking Start:2018-11-09 19:03:42
2018-11-09 19:03:42[ 444.  255.]
2018-11-09 19:03:44[ 265.5  209.5]
2018-11-09 19:03:44[ 259.5  195.5]
2018-11-09 19:03:44[ 259.5  195.5]
2018-11-09 19:03:44[ 285.5  293.5]
2018-11-09 19:03:44[ 291.5  180.5]
2018-11-09 19:03:45[ 285.5  176.5]
2018-11-09 19:03:45[ 279.  160.]
2018-11-09 19:03:46[ 295.5  177.5]
2018-11-09 19:03:46[ 304.5  181.5]
2018-11-09 19:03:46[ 304.5  229.5]
2018-11-09 19:03:47[ 292.  274.]
2018-11-09 19:03:49[ 305.  311.]
2018-11-09 19:03:49[ 288.  308.]
Tracking End:2018-11-09 19:03:49

Object ID:4
Tracking Start:2018-11-09 19:03:53
2018-11-09 19:03:53[ 337.  300.]
2018-11-09 19:03:53[ 350.  298.]
2018-11-09 19:03:53[ 330.5  289.5]
2018-11-09 19:03:53[ 330.5  289.5]
2018-11-09 19:03:53[ 301.5  291.5]
2018-11-09 19:03:54[ 293.  301.]
2018-11-09 19:03:54[ 323.5  243.5]
2018-11-09 19:03:56[ 293.  103.]
2018-11-09 19:03:56[ 293.  103.]
2018-11-09 19:03:58[ 337.5  126.5]
2018-11-09 19:03:58[ 376.  192.]
2018-11-09 19:03:59[ 409.  247.]
2018-11-09 19:03:59[ 416.5  252.5]
2018-11-09 19:03:59[ 416.5  252.5]
2018-11-09 19:03:59[ 414.5  259.5]
2018-11-09 19:03:59[ 398.  276.]
2018-11-09 19:03:59[ 390.  276.]
2018-11-09 19:04:00[ 343.  284.]
2018-11-09 19:04:00[ 323.  267.]
2018-11-09 19:04:01[ 346.  232.]
2018-11-09 19:04:01[ 360.  175.]
2018-11-09 19:04:02[ 328.  124.]
2018-11-09 19:04:02[ 327.  190.]
2018-11-09 19:04:02[ 342.  218.]
2018-11-09 19:04:03[ 338.5  217.5]
2018-11-09 19:04:03[ 328.  215.]
2018-11-09 19:04:03[ 329.  234.]
2018-11-09 19:04:03[ 336.  230.]
2018-11-09 19:04:04[ 323.  204.]
2018-11-09 19:04:04[ 300.5  187.5]
2018-11-09 19:04:04[ 260.5  142.5]
2018-11-09 19:04:05[ 257.5  133.5]
2018-11-09 19:04:05[ 244.  126.]
2018-11-09 19:04:05[ 243.  121.]
2018-11-09 19:04:05[ 274.  113.]
2018-11-09 19:04:06[ 284.  117.]
2018-11-09 19:04:06[ 279.  132.]
2018-11-09 19:04:06[ 283.  142.]
2018-11-09 19:04:06[ 294.5  173.5]
2018-11-09 19:04:06[ 302.5  189.5]
2018-11-09 19:04:07[ 308.  205.]
2018-11-09 19:04:07[ 321.  203.]
2018-11-09 19:04:08[ 314.  214.]
2018-11-09 19:04:08[ 314.  214.]
2018-11-09 19:04:08[ 314.  214.]
2018-11-09 19:04:08[ 311.5  222.5]
2018-11-09 19:04:08[ 321.5  219.5]
2018-11-09 19:04:09[ 322.5  218.5]
2018-11-09 19:04:09[ 322.  219.]
2018-11-09 19:04:09[ 318.5  220.5]
2018-11-09 19:04:10[ 331.5  229.5]
2018-11-09 19:04:10[ 331.5  229.5]
2018-11-09 19:04:11[ 323.  235.]
2018-11-09 19:04:11[ 320.5  233.5]
2018-11-09 19:04:11[ 316.5  234.5]
2018-11-09 19:04:11[ 322.  238.]
2018-11-09 19:04:11[ 321.5  242.5]
2018-11-09 19:04:12[ 318.  242.]
2018-11-09 19:04:12[ 311.5  228.5]
2018-11-09 19:04:12[ 306.  222.]
2018-11-09 19:04:13[ 283.  201.]
2018-11-09 19:04:13[ 283.  201.]
2018-11-09 19:04:13[ 301.5  217.5]
2018-11-09 19:04:13[ 310.5  207.5]
2018-11-09 19:04:14[ 312.5  206.5]
2018-11-09 19:04:14[ 311.  208.]
2018-11-09 19:04:15[ 310.  210.]
2018-11-09 19:04:15[ 310.  210.]
2018-11-09 19:04:15[ 309.5  208.5]
2018-11-09 19:04:15[ 308.  211.]
2018-11-09 19:04:16[ 311.5  211.5]
2018-11-09 19:04:16[ 304.  213.]
2018-11-09 19:04:16[ 307.  213.]
2018-11-09 19:04:16[ 307.  213.]
2018-11-09 19:04:16[ 310.  213.]
2018-11-09 19:04:17[ 303.  213.]
2018-11-09 19:04:17[ 306.  214.]
2018-11-09 19:04:17[ 303.5  214.5]
2018-11-09 19:04:17[ 301.5  213.5]
2018-11-09 19:04:18[ 300.5  214.5]
2018-11-09 19:04:18[ 302.5  214.5]
2018-11-09 19:04:19[ 301.  217.]
2018-11-09 19:04:19[ 302.  215.]
2018-11-09 19:04:19[ 301.  216.]
2018-11-09 19:04:20[ 302.  215.]
2018-11-09 19:04:20[ 303.  213.]
2018-11-09 19:04:21[ 302.5  219.5]
2018-11-09 19:04:21[ 309.5  217.5]
2018-11-09 19:04:21[ 309.5  217.5]
2018-11-09 19:04:21[ 322.5  219.5]
2018-11-09 19:04:22[ 331.  219.]
2018-11-09 19:04:22[ 271.5  199.5]
Tracking End:2018-11-09 19:04:22

Object ID:5
Tracking Start:2018-11-09 19:04:27
2018-11-09 19:04:27[ 183.  204.]
2018-11-09 19:04:27[ 218.  212.]
2018-11-09 19:04:27[ 243.  220.]
2018-11-09 19:04:28[ 259.5  226.5]
2018-11-09 19:04:28[ 364.  264.]
2018-11-09 19:04:29[ 355.  260.]
2018-11-09 19:04:29[ 343.5  261.5]
2018-11-09 19:04:29[ 343.5  261.5]
2018-11-09 19:04:29[ 330.  270.]
2018-11-09 19:04:29[ 343.  249.]
2018-11-09 19:04:30[ 362.  251.]
2018-11-09 19:04:30[ 399.  242.]
2018-11-09 19:04:30[ 419.5  234.5]
2018-11-09 19:04:30[ 406.5  218.5]
2018-11-09 19:04:31[ 388.  200.]
2018-11-09 19:04:31[ 368.5  193.5]
2018-11-09 19:04:31[ 345.5  190.5]
2018-11-09 19:04:32[ 249.  213.]
2018-11-09 19:04:32[ 264.  216.]
2018-11-09 19:04:32[ 277.5  215.5]
2018-11-09 19:04:32[ 277.5  215.5]
2018-11-09 19:04:32[ 297.5  215.5]
2018-11-09 19:04:33[ 342.  212.]
2018-11-09 19:04:33[ 383.  229.]
2018-11-09 19:04:34[ 349.  241.]
2018-11-09 19:04:34[ 341.  250.]
2018-11-09 19:04:35[ 326.  242.]
2018-11-09 19:04:35[ 322.  241.]
2018-11-09 19:04:35[ 323.5  234.5]
2018-11-09 19:04:35[ 319.  229.]
2018-11-09 19:04:36[ 316.  169.]
